vehicle_code,make,model,model_year,vehicle_class,vehicle_type,market_value_aud,manufacture_year,value_band,engine_size_band,repair_cost_band,safety_rating,theft_risk_score,theft_risk_band,risk_category,source_updated_at
VEH-00159,Honda,Ute-6,2009,UTE,UTE,50000,2009,MEDIUM,LARGE,HIGH,4,0.854,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00160,Tesla,Wagon-7,2025,WAGON,WAGON,24000,2025,LOW,ELECTRIC,LOW,3,0.065,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00161,Toyota,Sedan-8,2014,SEDAN,SEDAN,132000,2014,HIGH,SMALL,MEDIUM,3,0.495,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00162,Mazda,Hatch-9,2015,HATCH,HATCH,26000,2015,LOW,MEDIUM,HIGH,5,0.885,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00163,Ford,SUV-10,2006,SUV,SUV,53000,2006,MEDIUM,LARGE,LOW,3,0.429,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00164,Hyundai,Ute-11,2026,UTE,UTE,139000,2026,HIGH,ELECTRIC,MEDIUM,3,0.191,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00165,Kia,Wagon-12,2017,WAGON,WAGON,109000,2017,HIGH,SMALL,HIGH,4,0.417,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00166,Subaru,Sedan-13,2011,SEDAN,SEDAN,24000,2011,LOW,MEDIUM,LOW,4,0.129,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00167,Honda,Hatch-14,2023,HATCH,HATCH,75000,2023,MEDIUM,LARGE,MEDIUM,3,0.106,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00168,Tesla,SUV-15,2019,SUV,SUV,92000,2019,HIGH,ELECTRIC,HIGH,2,0.479,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00169,Toyota,Ute-16,2014,UTE,UTE,92000,2014,HIGH,SMALL,LOW,5,0.359,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00170,Mazda,Wagon-17,2012,WAGON,WAGON,99000,2012,HIGH,MEDIUM,MEDIUM,3,0.727,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00171,Ford,Sedan-1,2015,SEDAN,SEDAN,101000,2015,HIGH,LARGE,HIGH,3,0.600,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00172,Hyundai,Hatch-2,2017,HATCH,HATCH,46000,2017,MEDIUM,ELECTRIC,LOW,5,0.530,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00173,Kia,SUV-3,2009,SUV,SUV,101000,2009,HIGH,SMALL,MEDIUM,3,0.680,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00174,Subaru,Ute-4,2023,UTE,UTE,18000,2023,LOW,MEDIUM,HIGH,3,0.192,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00175,Honda,Wagon-5,2025,WAGON,WAGON,99000,2025,HIGH,LARGE,LOW,4,0.131,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00176,Tesla,Sedan-6,2017,SEDAN,SEDAN,80000,2017,HIGH,ELECTRIC,MEDIUM,3,0.868,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00177,Toyota,Hatch-7,2019,HATCH,HATCH,43000,2019,MEDIUM,SMALL,HIGH,4,0.735,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00178,Mazda,SUV-8,2008,SUV,SUV,57000,2008,MEDIUM,MEDIUM,LOW,4,0.605,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00179,Ford,Ute-9,2007,UTE,UTE,77000,2007,MEDIUM,LARGE,MEDIUM,4,0.635,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00180,Hyundai,Wagon-10,2024,WAGON,WAGON,127000,2024,HIGH,ELECTRIC,HIGH,4,0.249,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00181,Kia,Sedan-11,2005,SEDAN,SEDAN,81000,2005,HIGH,SMALL,LOW,2,0.275,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00182,Subaru,Hatch-12,2020,HATCH,HATCH,28000,2020,LOW,MEDIUM,MEDIUM,4,0.698,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00183,Honda,SUV-13,2017,SUV,SUV,110000,2017,HIGH,LARGE,HIGH,5,0.423,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00184,Tesla,Ute-14,2005,UTE,UTE,9000,2005,LOW,ELECTRIC,LOW,5,0.383,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00185,Toyota,Wagon-15,2020,WAGON,WAGON,99000,2020,HIGH,SMALL,MEDIUM,4,0.105,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00186,Mazda,Sedan-16,2010,SEDAN,SEDAN,88000,2010,HIGH,MEDIUM,HIGH,5,0.378,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00187,Ford,Hatch-17,2017,HATCH,HATCH,88000,2017,HIGH,LARGE,LOW,4,0.656,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00188,Hyundai,SUV-1,2026,SUV,SUV,11000,2026,LOW,ELECTRIC,MEDIUM,2,0.429,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00189,Kia,Ute-2,2011,UTE,UTE,125000,2011,HIGH,SMALL,HIGH,4,0.372,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00190,Subaru,Wagon-3,2008,WAGON,WAGON,128000,2008,HIGH,MEDIUM,LOW,4,0.494,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00191,Honda,Sedan-4,2008,SEDAN,SEDAN,71000,2008,MEDIUM,LARGE,MEDIUM,3,0.362,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00192,Tesla,Hatch-5,2013,HATCH,HATCH,111000,2013,HIGH,ELECTRIC,HIGH,3,0.878,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00193,Toyota,SUV-6,2011,SUV,SUV,26000,2011,LOW,SMALL,LOW,4,0.583,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00194,Mazda,Ute-7,2011,UTE,UTE,18000,2011,LOW,MEDIUM,MEDIUM,3,0.886,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00195,Ford,Wagon-8,2009,WAGON,WAGON,45000,2009,MEDIUM,LARGE,HIGH,3,0.818,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00196,Hyundai,Sedan-9,2022,SEDAN,SEDAN,109000,2022,HIGH,ELECTRIC,LOW,3,0.159,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00197,Kia,Hatch-10,2009,HATCH,HATCH,110000,2009,HIGH,SMALL,MEDIUM,2,0.811,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00198,Subaru,SUV-11,2019,SUV,SUV,87000,2019,HIGH,MEDIUM,HIGH,5,0.711,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00199,Honda,Ute-12,2026,UTE,UTE,79000,2026,MEDIUM,LARGE,LOW,3,0.259,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00200,Tesla,Wagon-13,2007,WAGON,WAGON,50000,2007,MEDIUM,ELECTRIC,MEDIUM,5,0.727,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00201,Toyota,Sedan-14,2005,SEDAN,SEDAN,48000,2005,MEDIUM,SMALL,HIGH,3,0.424,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00202,Mazda,Hatch-15,2022,HATCH,HATCH,120000,2022,HIGH,MEDIUM,LOW,2,0.468,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00203,Ford,SUV-16,2021,SUV,SUV,127000,2021,HIGH,LARGE,MEDIUM,4,0.384,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00204,Hyundai,Ute-17,2020,UTE,UTE,18000,2020,LOW,ELECTRIC,HIGH,3,0.778,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00205,Kia,Wagon-1,2021,WAGON,WAGON,129000,2021,HIGH,SMALL,LOW,4,0.368,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00206,Subaru,Sedan-2,2012,SEDAN,SEDAN,16000,2012,LOW,MEDIUM,MEDIUM,3,0.404,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00207,Honda,Hatch-3,2025,HATCH,HATCH,66000,2025,MEDIUM,LARGE,HIGH,2,0.817,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00208,Tesla,SUV-4,2025,SUV,SUV,11000,2025,LOW,ELECTRIC,LOW,4,0.376,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00209,Toyota,Ute-5,2021,UTE,UTE,107000,2021,HIGH,SMALL,MEDIUM,2,0.391,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00210,Mazda,Wagon-6,2025,WAGON,WAGON,57000,2025,MEDIUM,MEDIUM,HIGH,4,0.277,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00211,Ford,Sedan-7,2011,SEDAN,SEDAN,17000,2011,LOW,LARGE,LOW,4,0.850,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00212,Hyundai,Hatch-8,2019,HATCH,HATCH,39000,2019,MEDIUM,ELECTRIC,MEDIUM,3,0.266,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00213,Kia,SUV-9,2023,SUV,SUV,76000,2023,MEDIUM,SMALL,HIGH,5,0.351,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00214,Subaru,Ute-10,2022,UTE,UTE,72000,2022,MEDIUM,MEDIUM,LOW,3,0.308,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00215,Honda,Wagon-11,2023,WAGON,WAGON,121000,2023,HIGH,LARGE,MEDIUM,3,0.673,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00216,Tesla,Sedan-12,2010,SEDAN,SEDAN,90000,2010,HIGH,ELECTRIC,HIGH,4,0.142,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00217,Toyota,Hatch-13,2022,HATCH,HATCH,63000,2022,MEDIUM,SMALL,LOW,2,0.478,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00218,Mazda,SUV-14,2020,SUV,SUV,33000,2020,MEDIUM,MEDIUM,MEDIUM,4,0.862,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00219,Ford,Ute-15,2006,UTE,UTE,69000,2006,MEDIUM,LARGE,HIGH,2,0.545,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00220,Hyundai,Wagon-16,2025,WAGON,WAGON,109000,2025,HIGH,ELECTRIC,LOW,2,0.748,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00221,Kia,Sedan-17,2021,SEDAN,SEDAN,24000,2021,LOW,SMALL,MEDIUM,4,0.778,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00222,Subaru,Hatch-1,2024,HATCH,HATCH,55000,2024,MEDIUM,MEDIUM,HIGH,2,0.859,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00223,Honda,SUV-2,2010,SUV,SUV,97000,2010,HIGH,LARGE,LOW,2,0.588,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00224,Tesla,Ute-3,2026,UTE,UTE,73000,2026,MEDIUM,ELECTRIC,MEDIUM,5,0.227,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00225,Toyota,Wagon-4,2016,WAGON,WAGON,126000,2016,HIGH,SMALL,HIGH,3,0.371,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00226,Mazda,Sedan-5,2012,SEDAN,SEDAN,105000,2012,HIGH,MEDIUM,LOW,4,0.412,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00227,Ford,Hatch-6,2018,HATCH,HATCH,90000,2018,HIGH,LARGE,MEDIUM,2,0.703,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00228,Hyundai,SUV-7,2016,SUV,SUV,116000,2016,HIGH,ELECTRIC,HIGH,4,0.596,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00229,Kia,Ute-8,2006,UTE,UTE,28000,2006,LOW,SMALL,LOW,2,0.540,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00230,Subaru,Wagon-9,2008,WAGON,WAGON,68000,2008,MEDIUM,MEDIUM,MEDIUM,4,0.240,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00231,Honda,Sedan-10,2020,SEDAN,SEDAN,45000,2020,MEDIUM,LARGE,HIGH,2,0.276,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00232,Tesla,Hatch-11,2012,HATCH,HATCH,118000,2012,HIGH,ELECTRIC,LOW,4,0.190,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00233,Toyota,SUV-12,2019,SUV,SUV,30000,2019,MEDIUM,SMALL,MEDIUM,5,0.832,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00234,Mazda,Ute-13,2020,UTE,UTE,74000,2020,MEDIUM,MEDIUM,HIGH,3,0.820,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00235,Ford,Wagon-14,2023,WAGON,WAGON,68000,2023,MEDIUM,LARGE,LOW,2,0.609,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00236,Hyundai,Sedan-15,2016,SEDAN,SEDAN,32000,2016,MEDIUM,ELECTRIC,MEDIUM,5,0.618,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00237,Kia,Hatch-16,2011,HATCH,HATCH,139000,2011,HIGH,SMALL,HIGH,3,0.125,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00238,Subaru,SUV-17,2017,SUV,SUV,58000,2017,MEDIUM,MEDIUM,LOW,4,0.142,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00239,Honda,Ute-1,2019,UTE,UTE,119000,2019,HIGH,LARGE,MEDIUM,2,0.443,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00240,Tesla,Wagon-2,2007,WAGON,WAGON,64000,2007,MEDIUM,ELECTRIC,HIGH,4,0.768,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00241,Toyota,Sedan-3,2008,SEDAN,SEDAN,29000,2008,LOW,SMALL,LOW,4,0.537,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00242,Mazda,Hatch-4,2020,HATCH,HATCH,106000,2020,HIGH,MEDIUM,MEDIUM,2,0.186,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00243,Ford,SUV-5,2026,SUV,SUV,52000,2026,MEDIUM,LARGE,HIGH,5,0.568,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00244,Hyundai,Ute-6,2011,UTE,UTE,135000,2011,HIGH,ELECTRIC,LOW,5,0.797,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00245,Kia,Wagon-7,2026,WAGON,WAGON,121000,2026,HIGH,SMALL,MEDIUM,2,0.495,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00246,Subaru,Sedan-8,2014,SEDAN,SEDAN,131000,2014,HIGH,MEDIUM,HIGH,3,0.210,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00247,Honda,Hatch-9,2009,HATCH,HATCH,9000,2009,LOW,LARGE,LOW,4,0.281,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00248,Tesla,SUV-10,2013,SUV,SUV,136000,2013,HIGH,ELECTRIC,MEDIUM,2,0.378,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00249,Toyota,Ute-11,2014,UTE,UTE,41000,2014,MEDIUM,SMALL,HIGH,4,0.658,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00250,Mazda,Wagon-12,2007,WAGON,WAGON,77000,2007,MEDIUM,MEDIUM,LOW,4,0.703,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00251,Ford,Sedan-13,2019,SEDAN,SEDAN,34000,2019,MEDIUM,LARGE,MEDIUM,5,0.388,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00252,Hyundai,Hatch-14,2010,HATCH,HATCH,123000,2010,HIGH,ELECTRIC,HIGH,4,0.893,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00253,Kia,SUV-15,2008,SUV,SUV,62000,2008,MEDIUM,SMALL,LOW,4,0.624,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00254,Subaru,Ute-16,2020,UTE,UTE,32000,2020,MEDIUM,MEDIUM,MEDIUM,2,0.412,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00255,Honda,Wagon-17,2021,WAGON,WAGON,14000,2021,LOW,LARGE,HIGH,3,0.380,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00256,Tesla,Sedan-1,2019,SEDAN,SEDAN,114000,2019,HIGH,ELECTRIC,LOW,4,0.103,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00257,Toyota,Hatch-2,2015,HATCH,HATCH,110000,2015,HIGH,SMALL,MEDIUM,4,0.451,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00258,Mazda,SUV-3,2011,SUV,SUV,60000,2011,MEDIUM,MEDIUM,HIGH,5,0.340,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00259,Ford,Ute-4,2011,UTE,UTE,95000,2011,HIGH,LARGE,LOW,4,0.580,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00260,Hyundai,Wagon-5,2025,WAGON,WAGON,109000,2025,HIGH,ELECTRIC,MEDIUM,4,0.886,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00261,Kia,Sedan-6,2023,SEDAN,SEDAN,128000,2023,HIGH,SMALL,HIGH,3,0.675,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00262,Subaru,Hatch-7,2016,HATCH,HATCH,129000,2016,HIGH,MEDIUM,LOW,3,0.655,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00263,Honda,SUV-8,2023,SUV,SUV,104000,2023,HIGH,LARGE,MEDIUM,5,0.389,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00264,Tesla,Ute-9,2024,UTE,UTE,59000,2024,MEDIUM,ELECTRIC,HIGH,5,0.245,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00265,Toyota,Wagon-10,2016,WAGON,WAGON,44000,2016,MEDIUM,SMALL,LOW,2,0.220,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00266,Mazda,Sedan-11,2015,SEDAN,SEDAN,89000,2015,HIGH,MEDIUM,MEDIUM,2,0.596,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00267,Ford,Hatch-12,2017,HATCH,HATCH,29000,2017,LOW,LARGE,HIGH,5,0.072,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00268,Hyundai,SUV-13,2026,SUV,SUV,115000,2026,HIGH,ELECTRIC,LOW,5,0.779,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00269,Kia,Ute-14,2019,UTE,UTE,115000,2019,HIGH,SMALL,MEDIUM,3,0.540,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00270,Subaru,Wagon-15,2014,WAGON,WAGON,16000,2014,LOW,MEDIUM,HIGH,2,0.515,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00271,Honda,Sedan-16,2022,SEDAN,SEDAN,69000,2022,MEDIUM,LARGE,LOW,4,0.575,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00272,Tesla,Hatch-17,2020,HATCH,HATCH,51000,2020,MEDIUM,ELECTRIC,MEDIUM,3,0.507,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00273,Toyota,SUV-1,2019,SUV,SUV,138000,2019,HIGH,SMALL,HIGH,5,0.154,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00274,Mazda,Ute-2,2023,UTE,UTE,45000,2023,MEDIUM,MEDIUM,LOW,4,0.261,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00275,Ford,Wagon-3,2023,WAGON,WAGON,126000,2023,HIGH,LARGE,MEDIUM,3,0.524,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00276,Hyundai,Sedan-4,2017,SEDAN,SEDAN,140000,2017,HIGH,ELECTRIC,HIGH,4,0.523,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00277,Kia,Hatch-5,2019,HATCH,HATCH,20000,2019,LOW,SMALL,LOW,4,0.089,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00278,Subaru,SUV-6,2018,SUV,SUV,138000,2018,HIGH,MEDIUM,MEDIUM,5,0.772,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00279,Honda,Ute-7,2025,UTE,UTE,29000,2025,LOW,LARGE,HIGH,3,0.213,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00280,Tesla,Wagon-8,2026,WAGON,WAGON,107000,2026,HIGH,ELECTRIC,LOW,4,0.071,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00281,Toyota,Sedan-9,2018,SEDAN,SEDAN,22000,2018,LOW,SMALL,MEDIUM,2,0.104,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00282,Mazda,Hatch-10,2007,HATCH,HATCH,118000,2007,HIGH,MEDIUM,HIGH,3,0.532,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00283,Ford,SUV-11,2005,SUV,SUV,64000,2005,MEDIUM,LARGE,LOW,3,0.124,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00284,Hyundai,Ute-12,2011,UTE,UTE,114000,2011,HIGH,ELECTRIC,MEDIUM,2,0.707,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00285,Kia,Wagon-13,2024,WAGON,WAGON,137000,2024,HIGH,SMALL,HIGH,5,0.392,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00286,Subaru,Sedan-14,2015,SEDAN,SEDAN,138000,2015,HIGH,MEDIUM,LOW,3,0.820,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00287,Honda,Hatch-15,2006,HATCH,HATCH,100000,2006,HIGH,LARGE,MEDIUM,5,0.745,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00288,Tesla,SUV-16,2021,SUV,SUV,31000,2021,MEDIUM,ELECTRIC,HIGH,2,0.251,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00289,Toyota,Ute-17,2013,UTE,UTE,66000,2013,MEDIUM,SMALL,LOW,4,0.250,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00290,Mazda,Wagon-1,2019,WAGON,WAGON,140000,2019,HIGH,MEDIUM,MEDIUM,4,0.209,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00291,Ford,Sedan-2,2020,SEDAN,SEDAN,49000,2020,MEDIUM,LARGE,HIGH,4,0.835,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00292,Hyundai,Hatch-3,2019,HATCH,HATCH,50000,2019,MEDIUM,ELECTRIC,LOW,4,0.129,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00293,Kia,SUV-4,2016,SUV,SUV,130000,2016,HIGH,SMALL,MEDIUM,2,0.387,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00294,Subaru,Ute-5,2022,UTE,UTE,26000,2022,LOW,MEDIUM,HIGH,2,0.179,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00295,Honda,Wagon-6,2016,WAGON,WAGON,120000,2016,HIGH,LARGE,LOW,3,0.741,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00296,Tesla,Sedan-7,2022,SEDAN,SEDAN,56000,2022,MEDIUM,ELECTRIC,MEDIUM,2,0.050,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00297,Toyota,Hatch-8,2024,HATCH,HATCH,96000,2024,HIGH,SMALL,HIGH,2,0.233,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00298,Mazda,SUV-9,2023,SUV,SUV,92000,2023,HIGH,MEDIUM,LOW,2,0.251,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00299,Ford,Ute-10,2016,UTE,UTE,30000,2016,MEDIUM,LARGE,MEDIUM,2,0.498,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00300,Hyundai,Wagon-11,2011,WAGON,WAGON,27000,2011,LOW,ELECTRIC,HIGH,5,0.465,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00301,Kia,Sedan-12,2006,SEDAN,SEDAN,32000,2006,MEDIUM,SMALL,LOW,3,0.840,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00302,Subaru,Hatch-13,2005,HATCH,HATCH,14000,2005,LOW,MEDIUM,MEDIUM,4,0.074,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00303,Honda,SUV-14,2013,SUV,SUV,55000,2013,MEDIUM,LARGE,HIGH,2,0.586,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00304,Tesla,Ute-15,2010,UTE,UTE,102000,2010,HIGH,ELECTRIC,LOW,3,0.787,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00305,Toyota,Wagon-16,2014,WAGON,WAGON,69000,2014,MEDIUM,SMALL,MEDIUM,3,0.759,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00306,Mazda,Sedan-17,2009,SEDAN,SEDAN,30000,2009,MEDIUM,MEDIUM,HIGH,5,0.345,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00307,Ford,Hatch-1,2005,HATCH,HATCH,65000,2005,MEDIUM,LARGE,LOW,3,0.813,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00308,Hyundai,SUV-2,2008,SUV,SUV,43000,2008,MEDIUM,ELECTRIC,MEDIUM,5,0.195,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00309,Kia,Ute-3,2021,UTE,UTE,32000,2021,MEDIUM,SMALL,HIGH,3,0.091,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00310,Subaru,Wagon-4,2011,WAGON,WAGON,45000,2011,MEDIUM,MEDIUM,LOW,4,0.337,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00311,Honda,Sedan-5,2009,SEDAN,SEDAN,136000,2009,HIGH,LARGE,MEDIUM,5,0.117,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00312,Tesla,Hatch-6,2024,HATCH,HATCH,61000,2024,MEDIUM,ELECTRIC,HIGH,2,0.415,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00313,Toyota,SUV-7,2021,SUV,SUV,58000,2021,MEDIUM,SMALL,LOW,4,0.629,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00314,Mazda,Ute-8,2006,UTE,UTE,76000,2006,MEDIUM,MEDIUM,MEDIUM,4,0.744,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00315,Ford,Wagon-9,2025,WAGON,WAGON,12000,2025,LOW,LARGE,HIGH,4,0.478,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00316,Hyundai,Sedan-10,2023,SEDAN,SEDAN,10000,2023,LOW,ELECTRIC,LOW,2,0.708,LOW,STANDARD,2026-08-01T00:00:00Z
